0001 00145 1| |  0.25850430|  0.81769248|  -15.7|  -10.2| 40| 38| 1.3| 1.4|1975.08|1971.42| 5|0.8|1.5|0.8|1.5|11.995|0.119|11.766|0.162|999| |         |  0.25853056|  0.81772611|1.89|1.62| 56.3| 89.7| |-0.2
0001 00150 1| |  0.13485371|  1.95565839|   22.3|   -4.2| 30| 33| 1.6| 1.6|1983.76|1978.82| 4|1.2|0.8|1.1|0.8|11.735|0.086|10.666|0.059|999|T|         |  0.13480861|  1.95566389|1.79|1.55| 36.5| 53.6| |-0.1
0001 00154 1| |  0.86925854|  0.74952864|    9.4|  -23.3| 80|109| 2.6| 2.8|1977.54|1963.50| 2|   |   |   |   |12.692|0.285|12.021|0.217|999| |         |  0.86923694|  0.74958278|1.90|1.62| 87.6|134.1| |-0.1
0001 00156 1| |  2.08000046|  2.48811451|    3.6|   -6.8| 98|113| 2.8| 2.9|1971.62|1962.79| 2|   |   |   |   |13.536|0.405|12.222|0.216|999| |         |  2.07999167|  2.48813056|1.72|1.61|112.6|140.5| |-0.1
0001 00162 1| |  0.19713836|  2.38490424|   57.8|  -21.2| 13| 16| 1.2| 1.2|1989.79|1987.44| 8|0.9|0.9|1.0|0.9|10.024|0.028| 9.550|0.025|999|T|         |  0.19700639|  2.38495306|1.78|1.56| 13.0| 18.1| |-0.1
0001 00166 1| |  1.47364176|  0.54300902|   48.7|  -12.9| 56| 77| 1.7| 1.8|1976.45|1960.73| 3|1.1|0.9|1.1|0.9|12.391|0.188|11.715|0.140|999| |         |  1.47353167|  0.54304028|1.85|1.61| 61.7| 95.9| |-0.2
0001 00168 1| |  0.42320902|  1.80690049|  -18.1|  -25.2| 44| 40| 1.9| 1.9|1975.67|1974.27| 4|1.5|0.4|1.5|0.4|12.364|0.211|11.930|0.203|731| |         |  0.42322472|  1.80697306|1.80|1.53| 79.5|116.6| |-0.2
0001 00186 1| |  2.01140112|  2.44455662|   12.6|   -2.0| 37| 34| 1.6| 1.6|1982.78|1978.63| 4|1.8|0.7|1.8|0.7|11.715|0.085|10.982|0.071|999|T|         |  2.01136139|  2.44457139|1.75|1.62| 43.1| 56.2| |-0.1
0001 00193 1| |  2.32853223|  2.46247623|   43.9|  -19.4| 47| 46| 1.5| 1.5|1971.05|1968.62| 5|1.2|0.2|1.2|0.2|11.711|0.096|11.176|0.105|999|T|         |  2.32841694|  2.46252389|1.74|1.57| 70.5| 81.1| |-0.2
0001 00194 1| |  0.02665624|  1.33195260|  -14.1|    1.2| 13| 18| 1.0| 1.0|1988.51|1985.54|10|0.5|0.8|0.4|0.9|10.565|0.039| 9.468|0.022|999|T|         |  0.02668778|  1.33195028|1.83|1.55| 13.7| 20.4| |-0.1
0001 00197 1| |  1.23258141|  0.21972087|    6.9|    7.0| 51| 70| 1.6| 1.7|1978.39|1964.61| 3|2.6|2.3|2.5|2.3|11.951|0.110|11.631|0.132|999|T|         |  1.23256556|  0.21970361|1.88|1.60| 54.5| 83.3| |-0.1
0001 00201 1| |  0.60464993|  1.52114988|  -43.9|  -19.1| 68| 88| 1.9| 2.2|1970.88|1954.54| 3|0.5|3.5|0.5|3.5|12.623|0.259|11.784|0.184|999| |         |  0.60475083|  1.52119500|1.75|1.49| 79.2|118.6| |-0.1
0001 00206 1| |  1.34144209|  2.47133836|    6.1|  -34.5| 45| 37| 1.5| 1.5|1974.14|1973.39| 5|0.3|1.2|0.3|1.2|12.055|0.138|11.411|0.108|999| |         |  1.34143167|  2.47138472|1.71|1.51| 60.1| 80.3| |-0.2
0001 00208 1| |  1.29242145|  2.39720290|   39.6|  -42.9|  8| 10| 1.1| 1.1|1990.97|1989.99| 9|0.8|1.0|0.7|1.0| 9.443|0.020| 8.756|0.015|999|T|   429   |  1.29233139|  2.39730361|1.77|1.57|  7.9| 10.3| |-0.2
0001 00220 1| |  1.27507696|  0.73003904|    8.8|   -3.2| 35| 36| 1.6| 1.7|1979.20|1971.55| 4|0.7|0.7|0.6|0.7|12.395|0.200|10.905|0.070|999| |         |  1.27505694|  0.73005417|1.87|1.63| 45.1| 67.6| |-0.1
0001 00248 1| |  0.99307453|  2.38534865|    2.2|  -14.2| 24| 29| 1.5| 1.5|1984.75|1980.79| 6|0.9|0.8|0.9|0.9|11.920|0.121|10.072|0.039|999|T|         |  0.99306639|  2.38538000|1.79|1.54| 28.7| 40.7| |-0.3
0001 00251 1| |  0.00281010|  1.24730158|  -19.5|  -36.8| 40| 56| 1.7| 1.8|1974.09|1965.81| 4|1.5|0.3|1.6|0.3|12.014|0.126|11.529|0.124|999| |         |  0.00285833|  1.24737750|1.84|1.46|108.3|175.5| |-0.1
0001 00254 1| |  0.67056593|  2.00028159|    4.6|    0.0| 50| 41| 2.0| 2.0|1973.15|1973.92| 4|0.7|0.7|0.7|0.7|13.304|0.446|11.693|0.172|999| |         |  0.67057833|  2.00026833|1.77|1.55|108.1|149.3| |-0.1
0001 00263 1| |  0.14340957|  1.06621533|   10.2|    7.5|  9| 13| 0.8| 0.8|1988.83|1986.43|17|0.8|0.7|0.8|0.6|10.117|0.029| 9.032|0.018|999|T|    51   |  0.14338639|  1.06619750|1.86|1.61|  9.7| 15.0| |-0.1
0001 00269 1| |  2.20550871|  1.25424005|    8.5|   -7.4| 23| 24| 1.1| 1.1|1984.58|1981.92| 8|1.0|1.2|1.1|1.2|11.512|0.088| 9.749|0.032|999|T|         |  2.20548750|  1.25425167|1.76|1.56| 26.3| 30.0| |-0.2
0001 00286 1| |  0.52698834|  0.41534826|   45.9|    2.5| 10| 15| 1.1| 1.2|1990.26|1989.22| 9|0.8|0.7|0.8|0.7| 9.634|0.024| 9.167|0.020|999|T|         |  0.52688500|  0.41534278|1.88|1.62| 10.1| 14.8| |-0.1
0001 00293 1| |  2.36680804|  1.24404346|   25.9|    6.5|  5|  6| 1.1| 1.0|1991.37|1990.66|12|0.6|0.7|0.7|0.7| 8.844|0.018| 7.401|0.011|999|T|   769   |  2.36674861|  1.24402806|1.81|1.55|  5.1|  6.3| |-0.2
0001 00297 1| |  0.30288154|  2.43204011|   37.6|   15.6| 36| 38| 1.6| 1.6|1975.03|1972.08| 5|0.9|0.7|0.9|0.7|12.390|0.206|11.490|0.124|999| |         |  0.30278972|  2.43203250|1.80|1.54| 72.4|102.3| |-0.2
0001 00298 1| |  0.06452747|  1.20796663|   27.1|   -8.7| 39| 40| 1.7| 1.8|1975.92|1973.18| 4|1.1|0.2|1.1|0.2|12.553|0.236|12.171|0.219|999| |         |  0.06444028|  1.20799667|1.83|1.55| 79.0|128.8| |-0.1
0001 00307 1|X|            |            |       |       |   |   |    |    |       |       |  |   |   |   |   |13.414|0.396|11.974|0.194|999| |         |  1.39828528|  0.15581528|1.87|1.62| 89.6|137.6| |-0.2
0001 00322 1| |  1.59066136|  2.32638106|  -18.9|  -16.2| 28| 31| 1.6| 1.6|1985.58|1980.79| 4|0.3|0.4|0.3|0.4|11.296|0.061|10.846|0.064|999|T|         |  1.59070389|  2.32641694|1.76|1.64| 31.8| 44.6| |-0.2
0001 00324 1| |  0.53321293|  1.70622370|   14.5|   16.1| 45| 55| 1.9| 2.0|1974.33|1969.20| 4|1.0|0.5|1.1|0.4|12.596|0.265|12.319|0.250|999| |         |  0.53321056|  1.70617139|1.77|1.54| 98.2|136.1| |-0.2
0001 00329 1| |  1.42813551|  0.83927538|   -1.9|    1.4| 45| 62| 1.7| 1.8|1975.55|1965.93| 4|1.6|0.5|1.6|0.6|12.489|0.221|11.781|0.161|999| |         |  1.42813500|  0.83926306|1.84|1.61| 74.9|115.2| |-0.1
